seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
151,dormancy-heavy,2012-06-06,7550000,base-stale,3,4373651.160594,4378863.585513,5212.424919,0.00119,0.911371,0.083756,0.000826,1210,4377952.022795,911.562718,0.825117,0.999792,0.0126
151,dormancy-heavy,2012-06-06,7550000,stronger-but-stale,3,4367166.554998,4378863.585513,11697.030515,0.002671,0.826923,0.148477,0.0,1229,,,,,
151,dormancy-heavy,2012-06-06,7550000,weaker-but-fresh,0,4372099.25888,4378863.585513,6764.326633,0.001545,0.770067,0.205584,0.0,1209,,,,,
151,dormancy-heavy,2012-06-06,2760000,base-stale,7,1667850.362167,1676593.343831,8742.981664,0.005215,0.888393,0.105528,0.002232,448,1674694.874292,1898.469539,0.782858,0.998868,0.022
151,dormancy-heavy,2012-06-06,5480000,base-stale,7,3211925.022082,3209778.200036,-2146.822046,-0.000669,0.890661,0.108597,0.001138,879,3215396.375485,-5618.175449,1.616973,1.00175,0.022
151,dormancy-heavy,2012-06-06,7550000,base-stale,7,4370763.097027,4378863.585513,8100.488486,0.00185,0.885452,0.120558,0.000827,1209,4376696.708836,2166.876677,0.7325,0.999505,0.022
151,dormancy-heavy,2012-06-06,2760000,full-refresh,0,1676593.343831,1676593.343831,0.0,0.0,1.0,0.0,0.0,448,1676593.343831,0.0,1.0,1.0,1.0
151,dormancy-heavy,2012-06-06,5480000,full-refresh,0,3209778.200036,3209778.200036,0.0,0.0,1.0,0.0,0.0,878,3209778.200036,0.0,1.0,1.0,1.0
151,dormancy-heavy,2012-06-06,7550000,full-refresh,0,4378863.585513,4378863.585513,0.0,0.0,1.0,0.0,0.0,1196,4378863.585513,0.0,1.0,1.0,1.0
151,seasonal-shift,2012-06-06,2760000,base-stale,0,1778780.16508,1778780.16508,0.0,0.0,1.0,0.0,0.0,490,1778780.16508,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-06,5480000,base-stale,0,3352944.633565,3352944.633565,0.0,0.0,1.0,0.0,0.0,947,3352944.633565,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-06,7550000,base-stale,0,4538063.556612,4538063.556612,0.0,0.0,1.0,0.0,0.0,1304,4538063.556612,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-06,2760000,base-stale,1,1776418.632536,1778780.16508,2361.532544,0.001328,0.938776,0.06988,0.0,492,1778123.053108,657.111972,0.721743,0.999631,0.0247
151,seasonal-shift,2012-06-06,5480000,base-stale,1,3354286.009052,3352944.633565,-1341.375487,-0.0004,0.930306,0.071637,0.0,951,3354056.295974,-1111.662409,-0.171252,1.000332,0.0247
151,seasonal-shift,2012-06-06,7550000,base-stale,1,4531671.625899,4538063.556612,6391.930713,0.001409,0.930982,0.078199,0.0,1317,4539576.890898,-1513.334286,1.236757,1.000333,0.0247
