scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high
promotion-heavy,2760000,base-stale,0,16,1975341.900864,1924755.287571,2014633.543159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,527.875,509.703125,538.940625,5.6e-05,2.5e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,2760000,base-stale,1,16,1954171.115915,1912836.504407,1989993.318272,21170.784949,16865.544954,26089.3607,0.010601,0.008245,0.01274,0.926096,0.920394,0.931882,0.072857,0.065995,0.078717,0.000116,0.0,0.000347,523.8125,510.434375,534.509375,0.028731,0.027472,0.029883,0.453549,0.061484,0.727194,0.99592,0.994016,0.997541
promotion-heavy,2760000,base-stale,3,16,1951341.519468,1913266.233771,1991684.735435,24000.381396,18105.291757,30073.0512,0.012019,0.009595,0.014287,0.913508,0.906882,0.919203,0.08406,0.076978,0.092465,0.000497,0.0,0.000965,522.625,507.18125,534.3125,0.030756,0.029975,0.031354,0.514437,0.274644,0.723427,0.995158,0.993185,0.996858
promotion-heavy,2760000,base-stale,7,16,1947455.927865,1908127.639081,1982146.921836,27885.972999,22744.705333,33590.871904,0.01395,0.011059,0.01701,0.896473,0.890671,0.903083,0.099896,0.091434,0.106624,0.001756,0.000766,0.002825,521.625,507.5,533.220312,0.033444,0.03258,0.034347,0.237747,-0.406779,0.60137,0.993248,0.991443,0.995339
promotion-heavy,2760000,full-refresh,0,16,1975341.900864,1930130.8677,2014807.876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,527.875,511.882812,539.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,2760000,stronger-but-stale,3,16,1935004.416428,1890861.936342,1974108.700744,40337.484436,32802.510041,47440.628879,0.020373,0.017032,0.023777,0.796555,0.787681,0.806584,0.193838,0.184347,0.202282,0.000886,0.000347,0.00154,515.75,501.023438,528.88125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,2760000,weaker-but-fresh,0,16,1946946.183381,1913993.542822,1972934.004541,28395.717483,6623.828143,44894.066512,0.01355,0.004009,0.022427,0.602694,0.58529,0.620725,0.445335,0.422302,0.471272,0.0,0.0,0.0,462.3125,455.089063,470.521875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,5480000,base-stale,0,16,3631824.498992,3573700.863844,3686449.237811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.375,1000.145313,1058.890625,5.6e-05,1.9e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,5480000,base-stale,1,16,3595432.209584,3544465.974987,3646206.596428,36392.289408,29271.551539,42747.783076,0.009939,0.008385,0.011529,0.923144,0.919931,0.926415,0.076438,0.071079,0.081375,6e-05,0.0,0.000179,1025.6875,994.523438,1045.3125,0.028731,0.027652,0.029803,0.550346,0.350883,0.717506,0.996439,0.995775,0.99713
promotion-heavy,5480000,base-stale,3,16,3591887.61271,3525561.18991,3643830.265612,39936.886282,31901.37554,46171.889601,0.010925,0.00902,0.012266,0.912514,0.909227,0.916056,0.085075,0.079542,0.090841,0.000255,6e-05,0.000511,1024.0,994.471875,1044.503125,0.030756,0.030025,0.031336,0.463444,0.088007,0.69615,0.995934,0.994967,0.996988
