scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high
complaint-heavy,2760000,base-stale,0,16,1796156.458559,1768499.787051,1821340.58317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3125,466.404688,484.532812,8.1e-05,3.1e-05,0.000125,0.0,0.0,0.0,1.0,1.0,1.0
complaint-heavy,2760000,base-stale,1,16,1780799.981456,1747751.670067,1805505.417885,15356.477103,10976.573938,20532.047168,0.008473,0.005948,0.01097,0.921857,0.917429,0.925593,0.078537,0.073447,0.084004,0.0,0.0,0.0,470.3125,459.684375,476.315625,0.028963,0.027813,0.03008,0.682289,0.24205,1.178175,0.997227,0.99584,0.998498
complaint-heavy,2760000,base-stale,3,16,1778392.623616,1744360.821709,1804102.441819,17763.834943,13624.35668,22110.660609,0.009817,0.007521,0.011874,0.907338,0.902061,0.913084,0.090565,0.084488,0.096902,0.000544,0.00013,0.00098,469.875,460.55625,477.06875,0.030769,0.029933,0.031485,0.513467,0.219678,0.715474,0.996285,0.9949,0.997641
complaint-heavy,2760000,base-stale,7,16,1775865.308022,1745029.799623,1799246.133857,20291.150537,16291.955479,23919.587821,0.01123,0.009395,0.013066,0.888571,0.883104,0.89378,0.108012,0.101242,0.115514,0.001519,0.000531,0.002726,469.1875,460.029688,477.125,0.033287,0.03249,0.034194,0.482098,0.279984,0.657307,0.994861,0.993922,0.996081
complaint-heavy,2760000,full-refresh,0,16,1796156.458559,1765844.90862,1822325.179849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3125,467.25,484.1875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,2760000,stronger-but-stale,3,16,1772682.036146,1741329.432167,1801962.83666,23474.422413,18918.900979,27929.198265,0.013098,0.010709,0.016027,0.78314,0.775572,0.790847,0.20446,0.195884,0.213438,0.000577,0.0,0.001323,464.3125,454.996875,471.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,2760000,weaker-but-fresh,0,16,1776381.342916,1754577.955104,1794094.630399,19775.115643,3953.279363,31759.472279,0.010574,0.002601,0.016272,0.60982,0.59154,0.630696,0.42991,0.403358,0.454951,0.0,0.0,0.0,436.1875,431.621875,440.815625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,5480000,base-stale,0,16,3372714.920592,3326644.562691,3411064.965021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,905.3125,889.80625,918.482813,8.1e-05,3.8e-05,0.000131,0.0,0.0,0.0,1.0,1.0,1.0
complaint-heavy,5480000,base-stale,1,16,3349374.026748,3309171.783215,3383727.353333,23340.893844,18430.517321,28160.035645,0.006878,0.005558,0.00828,0.919599,0.914085,0.924329,0.087741,0.081721,0.094213,0.0,0.0,0.0,895.6875,879.029688,907.720312,0.028963,0.027758,0.030116,0.147574,-1.008698,0.796879,0.997932,0.997045,0.998772
complaint-heavy,5480000,base-stale,3,16,3347589.375366,3310533.567735,3377881.358645,25125.545227,19732.237332,29824.925158,0.007407,0.005916,0.00872,0.908264,0.903365,0.913881,0.09632,0.08824,0.103065,0.000285,6.9e-05,0.000582,895.1875,881.86875,906.914062,0.030769,0.029999,0.031382,0.588393,0.274091,0.815556,0.997693,0.996772,0.998588
complaint-heavy,5480000,base-stale,7,16,3345838.455174,3309068.476705,3374432.317191,26876.465418,21663.121825,32628.099081,0.007924,0.006124,0.009407,0.894013,0.888134,0.899656,0.10808,0.100312,0.116675,0.000793,0.000274,0.001475,895.75,878.767187,908.0,0.033287,0.03249,0.034276,0.702714,0.589815,0.825985,0.997403,0.996518,0.998296
complaint-heavy,5480000,full-refresh,0,16,3372714.920592,3332067.310293,3405872.230133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,905.3125,890.309375,917.782812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,5480000,stronger-but-stale,3,16,3339873.706323,3298631.45316,3371707.536286,32841.214269,26925.523355,38476.627785,0.009709,0.008063,0.011309,0.805404,0.801147,0.810133,0.1738,0.168001,0.178774,0.000298,7e-05,0.000681,889.1875,873.6875,899.598438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,5480000,weaker-but-fresh,0,16,3345646.52795,3320574.386025,3371031.222001,27068.392642,8181.415109,41773.355265,0.00779,0.002436,0.012002,0.681339,0.656116,0.698378,0.32685,0.304078,0.353943,0.0,0.0,0.0,854.1875,847.279688,860.509375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,7550000,base-stale,0,16,4546171.9532,4497526.479217,4584752.769786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.5,1204.74375,1236.375,8.1e-05,3.7e-05,0.000131,0.0,0.0,0.0,1.0,1.0,1.0
complaint-heavy,7550000,base-stale,1,16,4520181.164495,4468102.349552,4556414.708838,25990.788705,21492.635639,31256.638106,0.005688,0.004563,0.006825,0.919919,0.916141,0.924406,0.087953,0.081017,0.094037,0.0,0.0,0.0,1212.625,1195.9875,1225.970313,0.028963,0.027739,0.030001,0.773468,0.615365,0.925741,0.998541,0.997819,0.999193
complaint-heavy,7550000,base-stale,3,16,4518369.294526,4481415.401736,4550412.798169,27802.658675,22905.969533,32454.780746,0.006088,0.004977,0.007157,0.911074,0.90694,0.915869,0.095261,0.088831,0.101015,0.000208,4.9e-05,0.00038,1212.875,1195.835938,1226.657813,0.030769,0.030015,0.0314,0.739011,0.633499,0.853019,0.998322,0.997726,0.999128
complaint-heavy,7550000,base-stale,7,16,4516858.562573,4472165.123495,4548510.764841,29313.390628,24234.127613,33906.894068,0.006422,0.005342,0.007476,0.895109,0.890075,0.901055,0.108794,0.101499,0.113997,0.000579,0.000171,0.001003,1212.375,1193.33125,1228.167187,0.033287,0.032493,0.0342,0.733124,0.591494,0.85523,0.998186,0.997407,0.999047
complaint-heavy,7550000,full-refresh,0,16,4546171.9532,4495933.647375,4584951.204113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.5,1201.925,1236.907813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,7550000,stronger-but-stale,3,16,4512557.996409,4467140.90643,4549554.294258,33613.956792,28564.141654,38723.088067,0.007375,0.00633,0.008595,0.827797,0.823371,0.831951,0.157957,0.153696,0.161681,0.000218,0.0,0.000488,1207.875,1188.392188,1224.595313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,7550000,weaker-but-fresh,0,16,4517998.675183,4492130.097583,4543277.900354,28173.278018,9102.718722,41662.831799,0.006058,0.002383,0.009154,0.728909,0.709765,0.744515,0.265587,0.243266,0.290641,0.0,0.0,0.0,1169.0625,1161.342187,1178.628125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dormancy-heavy,2760000,base-stale,0,16,1768210.195743,1740883.255039,1789552.601522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,470.25,466.029688,475.690625,5.6e-05,2.2e-05,9.1e-05,0.0,0.0,0.0,1.0,1.0,1.0
dormancy-heavy,2760000,base-stale,1,16,1756744.333481,1733527.723839,1780105.940021,11465.862262,8201.872992,15045.93576,0.006445,0.004523,0.008225,0.892068,0.884245,0.900714,0.105582,0.098148,0.113619,0.0,0.0,0.0,464.125,459.401563,468.4375,0.012375,0.01125,0.01355,1.486248,0.346307,3.375781,0.995952,0.993833,0.997851
dormancy-heavy,2760000,base-stale,3,16,1755302.616972,1726150.325274,1776236.664891,12907.57877,9524.115245,16257.528861,0.007274,0.00504,0.009177,0.881292,0.87367,0.88751,0.116405,0.110627,0.12496,0.000138,0.0,0.000415,464.0,459.717188,468.253125,0.014425,0.013656,0.015072,0.600251,0.328462,0.896626,0.99532,0.99348,0.997151
dormancy-heavy,2760000,base-stale,7,16,1752597.359633,1729891.166443,1773919.658366,15612.836109,11976.158486,19271.941913,0.008801,0.006683,0.010863,0.862104,0.854061,0.869869,0.137465,0.130133,0.145258,0.000958,0.00014,0.001851,463.3125,458.767187,467.8125,0.0182,0.01715,0.019078,0.424884,0.266038,0.615645,0.994073,0.99212,0.996051
dormancy-heavy,2760000,full-refresh,0,16,1768210.195743,1740013.30853,1791054.020519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,470.25,464.99375,475.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dormancy-heavy,2760000,stronger-but-stale,3,16,1752022.838837,1726031.175481,1780795.702627,16187.356906,11923.614096,20142.759552,0.009177,0.006573,0.011296,0.76927,0.759654,0.776743,0.224773,0.216895,0.232932,0.000672,0.0,0.001476,459.625,454.559375,464.128125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
