seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
151,complaint-heavy,2025-03-26,5480000,stronger-but-stale,3,77247568.493798,73830724.738918,-3416843.75488,-0.046279,0.828326,0.256522,0.019432,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,5480000,weaker-but-fresh,0,49640081.46937,73830724.738918,24190643.269548,0.32765,0.772532,0.026087,0.0,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,7550000,base-stale,3,85132157.7281,84371999.154899,-760158.573201,-0.00901,0.827392,0.232525,0.000954,1048,84170412.488447,201586.666452,0.002389,0.87242,0.151213,0.00094,1064.0,-1.26519,0.997611,0.087712,0.260869,0.349691,0.014675,84962771.117428,-590771.962529,-0.007002,0.836773,0.223966,0.000961,1041.0,1.007002,0.087712,0.054349,0.036809,-0.007338,85198950.39298,-826951.238081,-0.009801,0.839587,0.215407,0.000953,1049.0,1.009801,0.087712,0.070651,0.073618,0.001048,84562071.965413,-190072.810514,-0.002253,0.832083,0.229672,0.000955,1047.0,1.002253,0.087712,0.027177,0.01227,-0.001048
151,complaint-heavy,2025-03-26,7550000,stronger-but-stale,3,86567210.874657,84371999.154899,-2195211.719758,-0.026018,0.80863,0.268188,0.012488,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,7550000,weaker-but-fresh,0,66774693.761264,84371999.154899,17597305.393635,0.208568,0.807692,0.029957,0.0,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,2760000,base-stale,7,49314526.192411,48560873.030302,-753653.162109,-0.01552,0.875,0.152672,0.022923,349,48208469.185663,352403.844639,0.007257,0.933333,0.064885,0.021798,367.0,-1.467594,0.992743,0.085541,0.466664,0.575004,0.049077,49744514.612096,-1183641.581794,-0.024374,0.888889,0.133588,0.022409,357.0,1.024374,0.085541,0.111112,0.125,0.022423,48420698.620385,140174.409917,0.002887,0.955556,0.038168,0.022284,359.0,0.997113,0.085541,0.644448,0.75,0.027876,50450291.111835,-1889418.081533,-0.038908,0.886111,0.156489,0.022857,350.0,1.038908,0.085541,0.088888,-0.025001,0.002879
151,complaint-heavy,2025-03-26,5480000,base-stale,7,75749762.556604,73830724.738918,-1919037.817686,-0.025992,0.849785,0.219565,0.011478,697,74126121.411477,-295396.672559,-0.004001,0.912732,0.108696,0.011204,714.0,-0.84607,1.004001,0.085541,0.419046,0.504948,0.023872,75499015.14492,-1668290.406002,-0.022596,0.856938,0.21087,0.011577,691.0,1.022596,0.085541,0.047618,0.039601,-0.008625,75830083.802985,-1999359.064067,-0.02708,0.872675,0.184783,0.011478,697.0,1.02708,0.085541,0.152382,0.158413,0.0,74799523.272028,-968798.53311,-0.013122,0.86123,0.21087,0.011511,695.0,1.013122,0.085541,0.076191,0.039601,-0.002875
151,complaint-heavy,2025-03-26,7550000,base-stale,7,84276822.616646,84371999.154899,95176.538253,0.001128,0.819887,0.238231,0.007449,1074,83692066.663696,679932.491203,0.008059,0.860225,0.169757,0.007333,1091.0,-6.143909,0.991941,0.085541,0.223959,0.287427,0.015573,84235333.717076,136665.437823,0.00162,0.834897,0.21826,0.007407,1080.0,0.99838,0.085541,0.083337,0.08383,0.005638,84302925.224256,69073.930643,0.000819,0.830206,0.222539,0.007449,1074.0,0.999181,0.085541,0.057292,0.065869,0.0,83624725.043588,747274.111311,0.008857,0.833959,0.222539,0.007326,1092.0,0.991143,0.085541,0.078129,0.065869,0.016512
151,complaint-heavy,2025-03-26,2760000,full-refresh,0,48560873.030302,48560873.030302,0.0,0.0,1.0,0.0,0.0,360,48560873.030302,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
151,complaint-heavy,2025-03-26,5480000,full-refresh,0,73830724.738918,73830724.738918,0.0,0.0,1.0,0.0,0.0,699,73830724.738918,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
